Match Num,Home,Away,Group,Winner
1,Russia,Saudi_Arabia,A,
2,Morocco,Iran,B,
3,Egypt,Uruguay,A,
4,Portugal,Spain,B,
5,France,Australia,C,
6,Argentina,Iceland,D,
7,Peru,Denmark,C,
8,Croatia,Nigeria,D,
9,Germany,Mexico,F,
10,Costa_Rica,Serbia,E,
11,Brazil,Switzerland,E,
12,Sweden,South_Korea,F,
13,Belgium,Panama,G,
14,Colombia,Japan,H,
15,Poland,Senegal,H,
16,Tunisia,England,G,
17,Portugal,Morocco,B,
18,Russia,Egypt,A,
19,Uruguay,Saudi_Arabia,A,
20,Iran,Spain,B,
21,Argentina,Croatia,D,
22,Denmark,Australia,C,
23,Nigeria,Iceland,D,
24,France,Peru,C,
25,Brazil,Costa_Rica,E,
26,South_Korea,Mexico,F,
27,Germany,Sweden,F,
28,Serbia,Switzerland,E,
29,Belgium,Tunisia,G,
30,Japan,Senegal,H,
31,England,Panama,G,
32,Poland,Colombia,H,
33,Uruguay,Russia,A,
34,Saudi_Arabia,Egypt,A,
35,Iran,Portugal,B,
36,Spain,Morocco,B,
37,Nigeria,Argentina,D,
38,Iceland,Croatia,D,
39,Denmark,France,C,
40,Australia,Peru,C,
41,South_Korea,Germany,F,
42,Mexico,Sweden,F,
43,Serbia,Brazil,E,
44,Switzerland,Costa_Rica,E,
45,Japan,Poland,H,
46,Senegal,Colombia,H,
47,England,Belgium,G,
48,Panama,Tunisia,G,
49,,,R16,
50,,,R16,
51,,,R16,
52,,,R16,
53,,,R16,
54,,,R16,
55,,,R16,
56,,,R16,
57,,,QF,
58,,,QF,
59,,,QF,
60,,,QF,
61,,,SF,
62,,,SF,
63,,,3P,
64,,,Final,
